       y     u_present        u_ghia
  1.0000       1.00000       1.00000
  0.9766       0.84376       0.84123
  0.9688       0.79171       0.78871
  0.9609       0.74032       0.73722
  0.9531       0.69094       0.68717
  0.8516       0.23602       0.23151
  0.7344       0.00380       0.00332
  0.6172      -0.13862      -0.13641
  0.5000      -0.20845      -0.20581
  0.4531      -0.21309      -0.21090
  0.2813      -0.15703      -0.15662
  0.1719      -0.10137      -0.10150
  0.1016      -0.06421      -0.06434
  0.0703      -0.04647      -0.04775
  0.0625      -0.04186      -0.04192
  0.0547      -0.03712      -0.03717
  0.0000       0.00000       0.00000
